"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред","Број одељења - пети разред","Број комбинованих одељења - пети разред","Број специјалних одељења - пети разред","Број ученика - пети разред","Број девојчица - пети разред","Број ИОП-а 1 - пети разред","Број ИОП-а 2 - пети разред","Број ИОП-а 3 - пети разред","Број одељења - шести разред","Број комбинованих одељења - шести разред","Број специјалних одељења - шести разред","Број ученика - шести разред","Број девојчица - шести разред","Број ИОП-а 1 - шести разред","Број ИОП-а 2 - шести разред","Број ИОП-а 3 - шести разред","Број одељења - седми разред","Број комбинованих одељења - седми разред","Број специјалних одељења - седми разред","Број ученика - седми разред","Број девојчица - седми разред","Број ИОП-а 1 - седми разред","Број ИОП-а 2 - седми разред","Број ИОП-а 3 - седми разред","Број одељења - осми разред","Број комбинованих одељења - осми разред","Број специјалних одељења - осми разред","Број ученика - осми разред","Број девојчица - осми разред","Број ИОП-а 1 - осми разред","Број ИОП-а 2 - осми разред","Број ИОП-а 3 - осми разред"
"1.","1","Државно","Град Београд","Београд - Барајево","Павле Поповић","Основно редовно образовање","Основно образовање","8","Српски језик","4","1","0","62","35","0","0","0","4","1","0","70","35","0","0","0","5","1","0","66","33","2","2","0","4","1","0","67","31","1","2","2","3","0","0","72","27","3","0","0","3","0","0","62","29","0","1","0","3","0","0","81","34","1","2","2","3","0","0","59","31","2","1","0"
"2.","2","Државно","Град Београд","Београд - Барајево","Кнез Сима Марковић","Основно редовно образовање","Основно образовање","8","Српски језик","15","9","0","148","64","0","0","0","17","10","0","172","78","3","0","0","17","9","0","178","90","1","1","0","15","9","0","168","65","7","0","0","6","0","0","151","75","8","0","0","8","0","0","174","78","4","0","0","7","0","0","173","88","6","0","0","8","0","0","170","92","6","0","0"
"3.","3","Државно","Град Београд","Београд - Вождовац","Бора Станковић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","122","54","1","0","0","5","0","0","119","52","2","0","0","4","0","0","97","62","1","0","0","5","0","0","120","46","1","0","0","3","0","0","78","44","0","0","0","4","0","0","99","44","0","0","0","4","0","0","111","56","0","0","0","4","0","0","100","46","0","1","0"
"4.","4","Државно","Град Београд","Београд - Вождовац","Змај Јова Јовановић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","87","49","0","0","0","6","1","1","122","66","2","2","0","7","1","1","154","86","0","2","0","4","0","0","99","39","1","0","0","5","1","1","111","54","3","2","0","5","1","1","114","59","2","1","0","4","0","0","108","45","3","0","0","6","1","1","108","42","2","2","0"
"5.","5","Државно","Град Београд","Београд - Вождовац","Ђура Даничић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","107","53","0","0","0","4","0","0","93","49","0","0","0","4","0","0","100","43","1","0","0","3","0","0","86","39","0","0","0","4","0","0","93","42","0","0","0","3","0","0","61","32","6","0","0","3","0","0","69","36","0","0","0","3","0","0","74","36","1","2","0"
"6.","6","Државно","Град Београд","Београд - Вождовац","Карађорђе","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","140","71","0","0","0","4","0","0","113","53","0","0","0","4","0","0","113","51","0","0","0","4","0","0","108","54","0","0","0","4","0","0","109","52","0","0","0","4","0","0","100","50","0","1","0","4","0","0","95","52","1","0","0","3","0","0","84","28","1","0","0"
"7.","7","Државно","Град Београд","Београд - Вождовац","Милан Ђ. Милићевић","Основно редовно образовање","Основно образовање","8","Српски језик","7","0","0","200","98","0","0","0","7","0","0","190","101","0","0","0","6","0","0","185","87","0","0","0","7","0","0","192","92","2","0","0","6","0","0","186","103","0","0","0","6","0","0","182","81","0","1","0","6","0","0","177","86","0","2","0","6","0","0","177","99","5","1","0"
"8.","8","Државно","Град Београд","Београд - Вождовац","Јанко Веселиновић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","109","52","2","0","0","5","0","0","148","70","1","0","0","5","0","0","132","70","0","2","0","4","0","0","108","54","1","0","0","5","0","0","118","62","4","0","0","5","0","0","125","73","1","0","0","4","0","0","114","50","0","0","0","5","0","0","127","64","1","1","0"
"9.","9","Државно","Град Београд","Београд - Вождовац","Доситеј Обрадовић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","77","33","1","0","0","2","0","0","60","23","0","0","0","3","0","0","74","36","0","1","0","3","0","0","62","27","3","0","0","3","1","1","55","24","1","4","0","2","0","0","52","28","1","0","0","2","0","0","53","28","0","1","0","2","0","0","48","22","2","0","0"
"10.","10","Државно","Град Београд","Београд - Вождовац","Веселин Маслеша","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","109","56","0","0","0","5","0","0","121","64","0","0","0","4","0","0","97","50","2","1","0","4","0","0","103","49","0","0","0","4","0","0","99","45","0","0","0","5","0","0","120","66","2","0","0","4","0","0","96","52","0","0","0","4","0","0","116","59","0","0","0"
"11.","11","Државно","Град Београд","Београд - Вождовац","Филип Филиповић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","98","47","0","0","0","4","0","0","102","43","2","0","0","4","0","0","101","50","0","2","0","3","0","0","83","48","1","2","0","3","0","0","82","33","0","0","0","4","0","0","97","50","4","1","0","3","0","0","90","47","0","0","0","4","0","0","94","49","3","0","0"
"12.","12","Државно","Град Београд","Београд - Вождовац","Бранислав Нушић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","99","41","0","0","0","4","0","0","92","50","2","0","0","4","0","0","98","49","5","0","0","4","0","0","83","43","9","1","3","5","1","1","100","50","2","1","0","5","1","1","88","43","7","5","0","4","0","0","94","49","5","1","0","5","1","1","84","34","6","4","0"
"13.","13","Државно","Град Београд","Београд - Вождовац","Војвода Степа","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","83","38","0","0","0","4","0","0","102","44","0","0","0","3","0","0","80","41","1","0","0","4","0","0","93","46","0","0","0","4","0","0","111","59","0","0","0","4","0","0","101","45","0","0","0","4","0","0","101","45","0","0","0","4","0","0","104","53","1","1","0"
"14.","14","Државно","Град Београд","Београд - Вождовац","Јајинци","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","68","33","0","0","0","4","1","1","59","27","0","2","0","4","1","1","85","35","2","1","0","3","0","0","63","34","2","0","0","3","0","0","71","38","1","0","1","3","1","1","48","26","0","2","0","3","0","0","61","31","3","0","0","3","0","0","62","27","2","0","0"
"15.","15","Државно","Град Београд","Београд - Вождовац","Вук Караџић","Основно редовно образовање","Основно образовање","8","Српски језик","4","1","1","56","35","0","1","0","4","0","0","61","28","3","0","0","5","1","1","73","42","0","2","0","5","1","1","69","29","3","1","0","4","1","1","62","38","1","2","0","4","1","1","75","32","1","5","0","3","1","1","58","20","2","2","0","4","1","1","74","30","3","2","0"
"16.","16","Државно","Град Београд","Београд - Вождовац","Војвода Путник","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","30","12","0","0","0","2","0","0","23","14","6","0","0","2","0","0","32","10","3","0","0","2","0","0","33","16","1","2","0","2","0","0","29","14","6","1","0","2","0","0","30","19","2","1","0","2","0","0","33","12","1","4","0","2","0","0","41","20","2","1","0"
"17.","17","Државно","Град Београд","Београд - Вождовац","Васа Чарапић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","98","50","0","0","0","5","0","0","100","37","1","0","0","5","0","0","103","51","1","2","0","4","0","0","79","43","2","0","0","5","0","0","100","47","1","1","0","5","0","0","92","38","5","0","0","6","1","1","109","58","3","2","0","6","1","1","108","51","2","2","0"
"18.","18","Државно","Град Београд","Београд - Врачар","Свети Сава","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","116","52","0","0","0","5","0","0","129","67","0","0","0","5","0","0","138","63","1","1","0","5","0","0","118","56","0","0","0","4","0","0","120","66","1","0","0","5","0","0","124","57","1","0","0","3","0","0","85","38","1","0","0","3","0","0","85","42","0","2","0"
"19.","19","Државно","Град Београд","Београд - Врачар","Јован Миодраговић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","126","62","0","0","0","5","0","0","135","60","0","0","0","5","0","0","123","54","0","0","0","5","0","0","141","76","2","0","0","5","0","0","142","63","1","0","0","5","0","0","141","63","1","0","0","5","0","0","132","68","0","0","0","6","0","0","148","80","3","3","0"
"20.","20","Државно","Град Београд","Београд - Врачар","Краљ Петар II Карађорђевић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","116","52","0","0","0","4","0","0","86","44","5","0","0","3","0","0","65","33","1","0","0","3","0","0","78","36","1","1","1","3","0","0","84","45","0","1","0","3","0","0","72","36","0","1","0","2","0","0","53","29","2","0","0","2","0","0","56","20","2","1","0"
"21.","21","Државно","Град Београд","Београд - Врачар","НХ Синиша Николајевић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","106","60","2","1","0","4","0","0","102","58","1","0","0","4","0","0","103","45","4","2","0","3","0","0","76","32","3","1","0","3","0","0","75","39","3","0","0","3","0","0","79","53","1","0","0","2","0","0","59","26","1","0","0","2","0","0","59","27","0","0","0"
"22.","22","Државно","Град Београд","Београд - Врачар","Светозар Марковић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","92","47","1","0","0","4","0","0","116","63","0","0","0","5","0","0","132","59","5","1","0","4","0","0","88","43","3","0","0","3","0","0","80","36","0","1","0","3","0","0","79","51","0","0","0","4","0","0","113","60","0","0","0","4","0","0","101","42","0","1","1"
"23.","23","Државно","Град Београд","Београд - Врачар","Владислав Рибникар","Основно редовно образовање","Основно образовање","8","Српски језик","6","0","0","165","79","1","0","0","5","0","0","139","69","3","0","0","5","0","0","138","70","5","0","0","5","0","0","148","75","4","1","0","6","0","0","142","68","9","0","0","4","0","0","103","54","6","0","0","3","0","0","65","28","5","0","0","3","0","0","67","32","5","0","0"
"24.","23","Државно","Град Београд","Београд - Врачар","Владислав Рибникар","Основно редовно образовање","Основно образовање","8","Српско-француски","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","50","32","0","0","0","2","0","0","48","34","1","0","0"
"25.","24","Државно","Град Београд","Београд - Гроцка","Алекса Шантић","Основно редовно образовање","Основно образовање","8","Српски језик","7","0","0","165","83","0","0","0","7","0","0","176","87","3","0","0","7","0","0","168","71","5","0","0","7","0","0","161","78","3","0","0","7","0","0","161","81","3","1","0","6","0","0","167","71","1","1","0","6","0","0","146","75","2","1","0","7","0","0","167","81","0","2","0"
"26.","25","Државно","Град Београд","Београд - Гроцка","Никола Тесла","Основно редовно образовање","Основно образовање","8","Српски језик","13","0","0","328","152","1","0","0","13","0","0","343","156","3","0","0","11","0","0","282","154","2","0","0","11","0","0","317","146","0","1","0","11","0","0","258","127","0","0","0","11","0","0","294","152","2","1","0","11","0","0","284","133","2","1","0","11","0","0","249","116","2","1","0"
"27.","26","Државно","Град Београд","Београд - Гроцка","Илија Гарашанин","Основно редовно образовање","Основно образовање","8","Српски језик","6","0","0","120","53","2","0","0","5","0","0","88","35","1","2","0","6","1","0","112","59","6","0","0","6","1","0","115","58","6","2","0","4","0","0","80","43","0","2","0","5","0","0","116","58","3","2","2","4","0","0","91","38","2","1","0","4","0","0","97","44","2","0","3"
"28.","27","Државно","Град Београд","Београд - Гроцка","Свети Сава","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","85","41","1","0","0","3","0","0","74","37","0","0","0","3","0","0","77","34","4","2","0","4","0","0","89","45","0","4","0","3","0","0","63","24","2","1","0","3","0","0","88","31","2","0","0","3","0","0","62","26","0","2","0","3","0","0","79","34","1","2","0"
"29.","28","Државно","Град Београд","Београд - Гроцка","Мића Стојковић","Основно редовно образовање","Основно образовање","8","Српски језик","6","2","0","67","38","0","0","0","5","3","0","49","23","1","2","0","5","3","0","54","25","5","1","0","5","2","0","55","28","2","0","0","2","0","0","53","25","1","1","0","3","0","0","71","39","1","0","0","3","0","0","64","27","0","1","0","3","0","0","58","37","2","0","0"
"30.","29","Државно","Град Београд","Београд - Гроцка","Иво Лола Рибар","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","35","18","0","0","0","1","0","0","23","14","1","1","0","2","0","0","30","16","4","0","0","1","0","0","27","13","0","0","0","2","0","0","31","19","0","1","0","2","0","0","37","19","0","0","0","2","0","0","34","14","1","0","0","2","0","0","34","15","0","1","0"
"31.","30","Државно","Град Београд","Београд - Звездара","Десанка Максимовић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","97","51","0","0","0","4","0","0","118","60","0","0","0","4","0","0","94","44","0","1","0","4","0","0","110","47","1","1","0","4","0","0","110","57","2","1","0","4","0","0","96","51","0","1","0","4","0","0","102","54","0","2","0","4","0","0","96","49","0","2","0"
"32.","31","Државно","Град Београд","Београд - Звездара","Вељко Дугошевић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","133","64","0","0","0","4","0","0","115","52","2","0","0","4","0","0","113","52","1","1","0","4","0","0","106","65","1","1","0","4","0","0","92","44","1","0","0","4","0","0","99","40","0","0","0","4","0","0","100","47","2","0","0","3","0","0","73","41","2","0","0"
"33.","32","Државно","Град Београд","Београд - Звездара","Владислав Петковић ДИС","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","53","27","0","0","0","2","0","0","47","19","0","0","0","3","0","0","63","29","0","0","0","3","0","0","66","36","0","0","0","2","0","0","56","32","1","1","0","3","0","0","61","30","0","0","0","3","0","0","68","26","1","0","0","3","0","0","54","19","0","0","1"
"34.","34","Државно","Град Београд","Београд - Звездара","Драгојло Дудић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","80","34","0","0","0","3","0","0","74","39","0","0","0","3","0","0","71","39","0","1","0","3","0","0","68","29","1","0","0","3","0","0","76","31","0","1","0","3","0","0","69","35","2","0","0","3","0","0","69","35","1","1","0","4","0","0","94","40","1","0","0"
"35.","35","Државно","Град Београд","Београд - Звездара","Иван Горан Ковачић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","114","54","0","1","0","5","0","0","124","70","0","0","0","4","0","0","114","54","1","0","0","4","0","0","114","53","1","0","0","4","0","0","97","52","0","0","0","4","0","0","118","63","1","0","0","4","0","0","94","42","1","1","0","4","0","0","85","40","1","1","1"
"36.","36","Државно","Град Београд","Београд - Звездара","Јелена Ћетковић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","140","69","0","0","0","6","0","0","160","79","2","2","0","5","0","0","132","59","1","2","0","5","0","0","138","64","2","0","0","5","0","0","140","56","3","0","0","5","0","0","149","78","3","3","0","5","0","0","118","49","2","3","0","5","0","0","148","64","7","0","0"
"37.","37","Државно","Град Београд","Београд - Звездара","Марија Бурсаћ","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","69","31","0","2","0","3","0","0","67","31","0","0","0","2","0","0","54","26","2","1","0","3","0","0","58","31","4","0","0","3","0","0","71","38","2","1","0","2","0","0","52","22","1","0","0","3","0","0","67","30","3","0","0","3","0","0","56","35","5","1","0"
"38.","39","Државно","Град Београд","Београд - Звездара","Деспот Стефан Лазаревић","Основно редовно образовање","Основно образовање","8","Српски језик","8","0","0","217","107","7","0","0","8","0","0","223","119","2","2","0","7","0","0","201","95","1","2","0","7","0","0","191","99","0","1","0","7","0","0","196","96","0","5","0","7","0","0","202","90","3","3","0","6","0","0","145","72","4","4","0","7","0","0","168","75","7","2","0"
"39.","41","Државно","Град Београд","Београд - Звездара","Стеван Синђелић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","104","57","0","0","0","4","0","0","101","57","3","0","0","4","0","0","108","48","2","0","0","4","0","0","112","53","2","3","0","4","0","0","86","46","6","1","0","4","0","0","96","61","2","2","0","4","0","0","90","45","2","0","0","4","0","0","93","50","2","4","0"
"40.","42","Државно","Град Београд","Београд - Звездара","Ћирило и Методије","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","116","58","0","1","0","5","0","0","126","66","0","0","0","5","0","0","113","50","7","1","0","4","0","0","104","56","2","1","0","5","0","0","138","66","4","0","0","4","0","0","106","52","4","0","0","5","0","0","116","57","2","2","0","4","0","0","106","60","3","1","0"
"41.","43","Државно","Град Београд","Београд - Звездара","1300 каплара","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","60","31","0","0","0","2","0","0","52","32","1","0","0","2","0","0","42","27","2","0","0","3","0","0","57","25","3","2","0","2","0","0","44","25","5","2","0","2","0","0","45","32","0","1","0","2","0","0","48","26","2","3","0","3","0","0","66","35","0","4","0"
"42.","44","Државно","Град Београд","Београд - Звездара","Павле Савић","Основно редовно образовање","Основно образовање","8","Српски језик","9","0","0","241","113","0","0","0","10","0","0","269","128","3","0","0","8","0","0","224","105","0","0","0","8","0","0","221","106","2","0","0","8","0","0","212","108","0","0","0","8","0","0","218","102","0","1","0","8","0","0","217","96","7","0","0","9","0","0","229","106","0","0","0"
"43.","45","Државно","Град Београд","Београд - Земун","Мајка Југовића","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","86","44","0","0","0","3","0","0","70","33","0","0","0","4","0","0","91","35","0","0","0","4","0","0","79","38","2","0","0","3","0","0","72","34","0","0","0","3","0","0","67","36","0","0","0","3","0","0","71","36","1","6","0","3","0","0","60","26","3","0","0"
"44.","46","Државно","Град Београд","Београд - Земун","Светозар Милетић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","120","65","0","0","0","5","0","0","133","63","0","0","0","5","0","0","133","64","0","0","0","5","0","0","143","81","0","0","0","5","0","0","148","73","0","0","0","5","0","0","152","78","0","0","0","4","0","0","134","74","0","0","0","4","0","0","129","60","0","0","0"
"45.","47","Државно","Град Београд","Београд - Земун","Лазар Саватић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","90","40","0","0","0","4","0","0","109","59","0","1","0","4","0","0","113","64","0","0","0","4","0","0","105","53","0","0","0","3","0","0","81","48","0","0","0","4","0","0","106","48","1","0","0","4","0","0","106","59","0","0","0","4","0","0","116","57","0","0","0"
"46.","48","Државно","Град Београд","Београд - Земун","Раде Кончар","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","94","49","0","0","0","4","0","0","105","51","0","1","0","4","0","0","92","39","0","2","0","4","0","0","95","46","0","1","0","3","0","0","83","44","0","0","0","4","0","0","92","30","2","1","0","4","0","0","96","43","2","0","0","4","0","0","90","42","0","2","0"
"47.","49","Државно","Град Београд","Београд - Земун","Сутјеска","Основно редовно образовање","Основно образовање","8","Српски језик","1","0","0","29","12","3","0","0","1","0","0","26","9","3","0","0","2","0","0","37","23","5","0","0","2","0","0","40","21","0","0","0","2","0","0","33","18","8","0","0","2","0","0","30","9","8","0","0","3","0","0","35","17","11","1","0","3","0","0","34","16","7","0","0"
"48.","50","Државно","Град Београд","Београд - Земун","Петар Кочић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","72","37","0","0","0","3","0","0","75","35","5","0","0","3","0","0","61","29","4","0","0","3","0","0","63","24","3","0","0","3","0","1","68","28","3","0","0","3","0","0","74","33","2","0","0","3","0","0","63","38","4","2","0","3","0","0","63","25","0","1","0"
"49.","51","Државно","Град Београд","Београд - Земун","Гаврило Принцип","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","118","51","0","0","0","4","0","0","116","50","0","0","0","4","0","0","121","57","0","0","0","4","0","0","97","47","0","1","0","4","0","0","102","57","1","1","0","4","0","0","94","52","2","2","0","4","0","0","96","31","0","2","0","4","0","0","88","46","0","3","0"
"50.","52","Државно","Град Београд","Београд - Земун","Соња Маринковић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","116","52","0","1","0","5","0","0","125","62","1","0","0","4","0","0","103","48","3","1","0","3","0","0","96","42","3","0","0","3","0","0","86","46","1","0","0","3","0","0","90","47","2","0","0","3","0","0","97","53","3","0","0","3","0","0","72","27","1","0","0"
"51.","53","Државно","Град Београд","Београд - Земун","Горња Варош","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","68","30","0","0","0","4","0","0","97","49","0","0","0","3","0","0","78","32","0","0","0","3","0","0","60","26","1","1","0","3","0","0","77","42","0","0","0","4","0","0","94","42","0","0","0","3","0","0","69","42","2","0","0","3","0","0","81","35","0","2","0"
"52.","54","Државно","Град Београд","Београд - Земун","Сава Јовановић Сирогојно","Основно редовно образовање","Основно образовање у школи за образовање ученика са сметњама у развоју","8","Српски језик","2","1","2","8","2","0","8","0","5","3","5","12","7","0","12","0","7","4","7","23","8","0","23","0","3","1","3","13","7","0","13","0","7","3","7","30","15","0","30","0","5","3","5","17","10","0","17","0","8","5","8","25","9","0","25","0","4","2","4","17","3","0","17","0"
"53.","55","Државно","Град Београд","Београд - Земун","Илија Бирчанин","Основно редовно образовање","Основно образовање","8","Српски језик","6","0","0","170","80","0","0","0","5","0","0","130","66","2","1","0","6","0","0","154","76","6","0","0","6","0","0","156","70","5","0","0","6","0","0","165","93","9","0","0","6","0","0","141","69","9","2","0","5","0","0","132","56","11","1","0","6","0","0","146","75","11","1","0"
"54.","56","Државно","Град Београд","Београд - Земун","Бошко Палковљевић Пинки","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","98","47","0","0","0","4","0","0","105","42","0","1","0","4","0","0","102","42","3","0","0","4","0","0","97","49","1","2","0","4","0","0","88","36","6","2","0","4","0","0","83","38","4","4","0","4","0","0","105","51","5","3","0","4","0","0","89","37","0","1","0"
"55.","57","Државно","Град Београд","Београд - Земун","Бранко Радичевић","Основно редовно образовање","Основно образовање","8","Српски језик","6","0","0","165","82","0","0","0","7","0","0","181","78","1","0","0","7","0","0","176","94","0","0","0","7","0","0","195","98","0","0","0","6","0","0","154","70","0","0","0","6","0","0","154","78","0","0","0","6","0","0","159","76","1","1","0","7","0","0","182","91","0","1","0"
"56.","58","Државно","Град Београд","Београд - Земун","Светислав Голубовић Митраљета","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","141","75","0","4","0","4","0","0","114","50","0","1","0","5","0","0","132","70","1","1","0","4","0","0","119","62","2","0","0","5","0","0","132","75","0","0","0","4","0","0","118","59","0","0","0","5","0","0","120","59","0","2","0","4","0","0","111","49","0","2","0"
"57.","59","Државно","Град Београд","Београд - Сурчин","Вук Караџић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","89","44","0","0","0","4","0","0","113","48","0","0","0","4","0","0","101","48","0","0","0","4","0","0","101","40","2","0","0","3","0","0","76","37","0","0","0","4","0","0","107","53","2","0","0","3","0","0","67","34","0","0","0","3","0","0","77","38","0","1","0"
"58.","60","Државно","Град Београд","Београд - Сурчин","22. октобар","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","82","34","0","0","0","4","0","0","99","45","4","0","0","4","0","0","116","55","8","0","0","4","0","0","105","49","8","3","0","4","0","0","109","52","8","4","0","4","0","0","79","46","7","2","0","4","0","0","81","38","1","3","0","4","0","0","76","34","2","3","0"
"59.","61","Државно","Град Београд","Београд - Сурчин","Стеван Сремац","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","86","42","0","0","0","4","0","0","98","44","0","0","0","4","0","0","92","47","0","0","0","4","0","0","95","47","1","0","0","3","0","0","80","42","0","0","0","3","0","0","75","35","0","0","0","4","0","0","91","45","2","0","0","3","0","0","76","40","2","1","1"
"60.","62","Државно","Град Београд","Београд - Земун","Станко Марић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","75","43","0","0","0","3","0","0","83","36","0","0","0","3","0","0","81","41","0","0","0","3","0","0","81","38","0","0","0","3","0","0","71","34","0","0","0","2","0","0","46","20","0","0","0","3","0","0","68","32","0","0","0","3","0","0","68","30","0","0","0"
"61.","63","Државно","Град Београд","Београд - Сурчин","Вожд Карађорђе","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","68","30","1","0","0","3","0","0","74","41","4","0","0","3","0","0","68","37","0","1","0","3","0","0","71","36","2","0","0","3","0","0","82","37","2","0","0","3","0","0","65","34","0","0","0","3","0","0","71","37","1","1","0","3","0","0","71","38","0","0","0"
"62.","64","Државно","Град Београд","Београд - Сурчин","Бранко Радичевић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","50","22","0","0","0","2","0","0","38","17","0","0","0","3","0","0","55","32","1","1","0","3","0","0","56","26","0","0","1","3","0","0","43","28","0","2","0","3","0","0","46","21","0","0","2","3","0","0","47","23","1","3","0","3","0","0","56","22","0","0","0"
"63.","65","Државно","Град Београд","Београд - Сурчин","Душан Вукасовић Диоген","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","57","25","0","0","0","3","0","0","49","20","0","0","0","3","0","0","53","29","0","1","0","3","0","0","56","26","0","0","0","2","0","0","55","26","0","0","0","2","0","0","46","16","0","1","0","2","0","0","55","24","0","0","0","3","0","0","65","31","0","0","0"
"64.","66","Државно","Град Београд","Београд - Лазаревац","Кнез Лазар","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","108","46","1","0","0","5","0","0","124","72","1","0","0","4","0","0","115","56","0","0","0","4","0","0","106","51","0","0","0","4","0","0","117","54","0","0","0","5","0","0","123","59","0","0","0","4","0","0","91","49","2","0","0","4","0","0","108","57","4","1","0"
"65.","67","Државно","Град Београд","Београд - Лазаревац","Свети Сава","Основно редовно образовање","Основно образовање","8","Српски језик","3","1","0","46","27","0","0","0","3","0","0","64","28","0","0","0","3","1","0","54","33","0","0","0","3","0","0","58","31","0","0","0","3","0","0","73","38","0","0","0","2","0","0","46","17","0","0","0","3","0","0","62","33","0","0","0","2","0","0","36","17","0","0","0"
"66.","68","Државно","Град Београд","Београд - Лазаревац","Слободан Пенезић Крцун","Основно редовно образовање","Основно образовање","8","Српски језик","3","2","0","38","16","0","0","0","3","2","0","24","10","1","1","0","3","1","0","17","9","5","1","0","3","1","0","25","15","0","1","0","1","0","0","21","10","0","0","0","1","0","0","15","7","1","1","0","1","0","0","24","9","3","1","0","2","0","0","30","14","3","0","0"
"67.","69","Државно","Град Београд","Београд - Лазаревац","Вук Караџић","Основно редовно образовање","Основно образовање","8","Српски језик","3","1","0","48","17","0","0","0","3","1","0","36","21","0","1","0","3","1","0","39","24","0","0","0","3","1","0","33","19","3","0","0","2","0","0","45","25","3","0","0","2","0","0","43","16","2","0","0","2","0","0","47","22","2","0","0","2","0","0","47","25","1","1","0"
"68.","70","Државно","Град Београд","Београд - Лазаревац","Рудовци","Основно редовно образовање","Основно образовање","8","Српски језик","6","5","0","29","14","1","0","0","6","6","0","30","15","1","0","0","6","5","0","29","16","1","1","0","6","6","0","27","13","0","0","0","1","0","0","23","11","3","1","0","2","0","0","28","15","2","0","0","2","0","0","29","10","1","0","0","2","0","0","40","20","0","0","0"
