"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред","Број одељења - пети разред","Број комбинованих одељења - пети разред","Број специјалних одељења - пети разред","Број ученика - пети разред","Број девојчица - пети разред","Број ИОП-а 1 - пети разред","Број ИОП-а 2 - пети разред","Број ИОП-а 3 - пети разред","Број одељења - шести разред","Број комбинованих одељења - шести разред","Број специјалних одељења - шести разред","Број ученика - шести разред","Број девојчица - шести разред","Број ИОП-а 1 - шести разред","Број ИОП-а 2 - шести разред","Број ИОП-а 3 - шести разред","Број одељења - седми разред","Број комбинованих одељења - седми разред","Број специјалних одељења - седми разред","Број ученика - седми разред","Број девојчица - седми разред","Број ИОП-а 1 - седми разред","Број ИОП-а 2 - седми разред","Број ИОП-а 3 - седми разред","Број одељења - осми разред","Број комбинованих одељења - осми разред","Број специјалних одељења - осми разред","Број ученика - осми разред","Број девојчица - осми разред","Број ИОП-а 1 - осми разред","Број ИОП-а 2 - осми разред","Број ИОП-а 3 - осми разред"
"1097.","954","Државно","Расински управни округ","Варварин","Свети Сава","Основно редовно образовање","Основно образовање","8","Српски језик","2","1","0","17","7","0","0","0","3","2","0","23","9","0","0","0","4","1","0","22","10","0","0","0","3","2","0","25","7","0","0","0","1","0","0","20","8","0","0","0","1","0","0","16","6","0","1","0","2","0","0","27","10","0","3","0","2","0","0","27","7","0","2","0"
"1098.","955","Државно","Расински управни округ","Варварин","Јован Курсула","Основно редовно образовање","Основно образовање","8","Српски језик","4","1","0","49","25","0","0","0","4","2","0","58","33","0","1","0","4","2","0","47","22","1","0","0","4","1","0","59","41","1","1","0","3","0","0","60","35","1","2","0","2","0","0","38","17","2","1","0","2","0","0","39","19","3","1","0","3","0","0","77","37","2","4","0"
"1099.","956","Државно","Расински управни округ","Варварин","Херој Мирко Томић","Основно редовно образовање","Основно образовање","8","Српски језик","5","5","0","20","8","0","0","0","6","5","0","26","18","2","2","0","6","5","0","19","8","0","1","0","7","5","0","23","13","2","1","0","2","0","0","21","14","0","1","0","2","0","0","23","15","1","1","0","2","0","0","11","7","0","1","0","2","0","0","32","14","0","4","0"
"1100.","957","Државно","Расински управни округ","Варварин","Драги Макић","Основно редовно образовање","Основно образовање","8","Српски језик","2","1","0","17","7","0","0","0","2","1","0","13","7","1","0","0","2","1","0","26","15","2","0","0","2","1","0","17","8","1","0","0","1","0","0","18","7","0","0","0","1","0","0","14","7","1","0","0","1","0","0","13","7","2","1","0","1","0","0","19","11","0","0","0"
"1101.","958","Државно","Расински управни округ","Варварин","Мирко Томић","Основно редовно образовање","Основно образовање","8","Српски језик","1","0","0","20","10","1","0","0","1","0","0","14","12","0","0","0","1","0","0","17","7","2","0","0","1","0","0","22","5","0","0","0","2","0","0","24","12","3","3","0","2","0","0","24","11","2","3","0","2","0","0","32","14","1","2","0","1","0","0","20","7","0","0","0"
"1102.","959","Државно","Расински управни округ","Крушевац - град","Брана Павловић","Основно редовно образовање","Основно образовање","8","Српски језик","6","6","0","24","11","0","0","0","6","6","0","23","11","0","0","0","5","5","0","29","10","0","0","0","6","6","0","39","22","0","2","0","2","0","0","41","23","0","0","0","2","0","0","29","16","0","1","0","2","0","0","26","9","1","2","0","2","0","0","46","23","0","3","0"
"1103.","960","Државно","Расински управни округ","Крушевац - град","Бранко Радичевић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","37","19","0","1","0","4","0","0","58","24","0","2","0","3","0","0","45","21","0","1","0","4","0","0","56","33","0","1","0","3","0","0","69","35","1","3","0","3","0","0","60","28","0","1","0","3","0","0","65","34","2","4","0","3","0","0","50","26","0","4","0"
"1104.","961","Државно","Расински управни округ","Крушевац - град","Васа Пелагић","Основно редовно образовање","Основно образовање","8","Српски језик","5","5","0","20","7","0","0","0","5","5","0","22","13","0","1","0","5","5","0","24","8","0","0","0","5","5","0","25","15","0","0","0","1","0","0","29","17","0","0","0","1","0","0","22","10","0","2","0","1","0","0","22","11","0","1","0","1","0","0","26","18","0","1","0"
"1105.","962","Државно","Расински управни округ","Крушевац - град","Велизар Станковић Корчагин","Основно редовно образовање","Основно образовање","8","Српски језик","8","6","0","41","22","0","0","0","11","9","0","69","24","1","2","0","8","5","0","46","15","1","0","0","10","7","0","62","28","2","1","0","4","0","0","54","23","2","0","0","4","0","0","58","26","2","1","0","4","0","0","68","34","2","0","0","5","0","0","66","32","4","3","0"
"1106.","963","Државно","Расински управни округ","Крушевац - град","Владислав Савић Јан","Основно редовно образовање","Основно образовање","8","Српски језик","7","6","0","58","31","0","0","0","6","4","0","57","25","0","0","0","6","4","0","52","31","0","1","0","7","5","0","46","25","0","0","0","2","0","0","52","26","0","0","0","3","0","0","49","26","0","6","0","3","0","0","66","29","2","1","0","3","0","0","55","24","1","4","0"
